 written on  7Apr2026 at 10:55:14 
   2.4600000000000000        0.0000000000000000        0.0000000000000000     
  -1.2300000000000000        2.1304224933000002        0.0000000000000000     
   0.0000000000000000        0.0000000000000000        20.000000000000000     
           8
          83
    1    1    2    1    1    1    1    1    1    2    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    1    1
    1    1    1    1    1    1    1    1    1    1    1    1    1    2    1
    1    1    1    1    1    2    1    1

   -5   -3    0
    8    3    0.18911521E-02 -0.10329931E-12
    1    4    0.13996828E-02  0.92643202E-11
    2    4   -0.24611837E-10  0.30408957E-11
    3    4   -0.58602155E-03  0.16038655E-11
    4    4    0.50487541E-03  0.82939909E-11
    5    4   -0.18559818E-02  0.42678361E-12
    6    4    0.67100680E-10 -0.52474672E-12
    7    4    0.18911518E-02  0.57315194E-11
    8    4    0.31545801E-02 -0.11495763E-10
    1    5   -0.17302878E-02  0.32186753E-11
    2    5    0.22642826E-10 -0.17279946E-11
    3    5    0.17368477E-02  0.33499818E-11
    4    5   -0.69727741E-04  0.43167761E-11
    5    5   -0.34490801E-04 -0.95419978E-11
    6    5   -0.97293533E-10 -0.10068572E-10
    7    5    0.33574332E-03 -0.57479368E-12
    8    5   -0.13996826E-02  0.15200601E-11
    1    6   -0.19539771E-09  0.29273868E-11
    2    6    0.14497389E-03  0.31425581E-12
    3    6    0.20085145E-09 -0.13265006E-10
    4    6   -0.48672861E-11 -0.34468741E-11
    5    6   -0.40344353E-10 -0.49882305E-11
    6    6    0.14810927E-03 -0.98053151E-12
    7    6    0.48876079E-10 -0.10775437E-11
    8    6   -0.10964707E-09  0.99791351E-11
    1    7   -0.17368485E-02 -0.94960116E-11
    2    7    0.33439574E-10  0.55818420E-11
    3    7    0.16807368E-02 -0.13305329E-12
    4    7    0.15980941E-03 -0.70097331E-11
    5    7   -0.12540900E-02  0.85430742E-11
